,ENSPTRT00000106924_ENSPTRG00000052739,ENSPTRT00000099106_ENSPTRG00000052739,ENSPTRT00000097098_ENSPTRG00000052739,ENSPTRT00000108660_ENSPTRG00000052739,ENSPPAT00000030664_ENSPPAG00000027250,ENSPPAT00000030668_ENSPPAG00000027250,ENSPPAT00000030671_ENSPPAG00000027250,ENST00000378097_ENSG00000069424,ENST00000666163_ENSG00000069424,ENST00000671676_ENSG00000069424,ENST00000658883_ENSG00000069424,ENST00000445501_ENSG00000069424,ENST00000668706_ENSG00000069424,ENST00000653262_ENSG00000069424,ENST00000389632_ENSG00000069424,ENST00000341524_ENSG00000069424,ENST00000462676_ENSG00000069424,ENST00000428161_ENSG00000069424,ENST00000352527_ENSG00000069424,ENST00000663169_ENSG00000069424,ENST00000656198_ENSG00000069424,ENST00000602612_ENSG00000069424,ENST00000666299_ENSG00000069424,ENST00000652845_ENSG00000069424,ENST00000655703_ENSG00000069424,ENST00000669250_ENSG00000069424,ENST00000164247_ENSG00000069424,ENST00000668559_ENSG00000069424,ENST00000378092_ENSG00000069424,ENST00000472700_ENSG00000069424,ENST00000378083_ENSG00000069424,ENST00000662147_ENSG00000069424,ENST00000458166_ENSG00000069424,ENST00000662363_ENSG00000069424,ENST00000655548_ENSG00000069424,ENST00000378111_ENSG00000069424,ENSNLET00000013176_ENSNLEG00000010301,ENSNLET00000035379_ENSNLEG00000010301,ENSNLET00000045043_ENSNLEG00000010301,ENSPANT00000026409_ENSPANG00000008514,ENSPANT00000057435_ENSPANG00000008514,ENSPANT00000056465_ENSPANG00000008514,ENSMLET00000040176_ENSMLEG00000032567,ENSMLET00000040180_ENSMLEG00000032567,ENSMLET00000040191_ENSMLEG00000032567,ENSMLET00000040199_ENSMLEG00000032567,ENSTGET00000021993_ENSTGEG00000014878,ENSTGET00000021998_ENSTGEG00000014878,ENSTGET00000022007_ENSTGEG00000014878,ENSMFAT00000034808_ENSMFAG00000035522,ENSMFAT00000034814_ENSMFAG00000035522,ENSMFAT00000034828_ENSMFAG00000035522,ENSMFAT00000034830_ENSMFAG00000035522,ENSMMUT00000060761_ENSMMUG00000016837,ENSMMUT00000064634_ENSMMUG00000016837,ENSMMUT00000061811_ENSMMUG00000016837,ENSMMUT00000023658_ENSMMUG00000016837,ENSMMUT00000047626_ENSMMUG00000016837,ENSMMUT00000047625_ENSMMUG00000016837,ENSMNET00000005937_ENSMNEG00000005434,ENSMNET00000005940_ENSMNEG00000005434,ENSMNET00000005945_ENSMNEG00000005434,ENSMNET00000005948_ENSMNEG00000005434,ENSMNET00000005953_ENSMNEG00000005434,ENSCATT00000052279_ENSCATG00000037349,ENSCATT00000052280_ENSCATG00000037349,ENSCATT00000052281_ENSCATG00000037349,ENSCATT00000052285_ENSCATG00000037349,ENSRBIT00000041179_ENSRBIG00000032665,ENSRBIT00000041183_ENSRBIG00000032665,ENSRBIT00000041184_ENSRBIG00000032665,ENSRBIT00000041193_ENSRBIG00000032665,ENSRBIT00000041194_ENSRBIG00000032665,ENSRROT00000067454_ENSRROG00000044539,ENSRROT00000067457_ENSRROG00000044539,ENSRROT00000067473_ENSRROG00000044539,ENSRROT00000067484_ENSRROG00000044539,ENSRROT00000067488_ENSRROG00000044539,ENSRROT00000067491_ENSRROG00000044539
ENSCATT00000052285_ENSCATG00000037349,0.37,0.32,0.2,0.24,0.37,0.32,0.24,0.37,0.32,0.37,0.63,0.58,0.54,0.34,0.22,0.35,0.52,0.37,0.32,0.53,0.62,0.38,0.58,0.48,0.42,0.32,0.37,0.38,0.37,0.57,0.24,0.26,0.17,0.25,0.54,0.54,0.22,0.28,0.14,0.32,0.42,0.24,0.32,0.37,0.39,0.24,0.37,0.32,0.24,0.8,0.24,0.37,0.32,0.35,0.37,0.37,0.32,0.2,0.24,0.37,0.32,0.69,0.24,0.36,0.37,0.32,0.24,1.0,0.37,0.32,0.24,0.9,0.36,0.37,0.32,0.69,0.36,0.24,0.36
ENSRBIT00000041179_ENSRBIG00000032665,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,0.92,0.67,0.69,0.92,0.86,0.69,0.32,0.69,0.92,0.86,0.84,0.92,0.92,0.86,0.61,0.69,0.92,0.86,0.27,0.69,0.8,0.92,0.86,0.69,0.37,1.0,0.86,0.69,0.37,0.83,0.92,0.86,0.27,0.77,0.69,0.83
ENSRBIT00000041183_ENSRBIG00000032665,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.5,0.5,0.79,0.68,0.62,0.91,0.62,0.73,0.91,0.86,0.61,0.73,0.86,0.91,0.73,0.33,0.73,0.86,0.91,0.79,0.86,0.86,0.91,0.64,0.73,0.86,0.91,0.22,0.73,0.75,0.86,0.91,0.73,0.32,0.86,1.0,0.73,0.32,0.78,0.86,0.91,0.22,0.72,0.73,0.78
ENSRBIT00000041184_ENSRBIG00000032665,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.25,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.65,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,0.92,0.73,0.69,0.48,0.92,0.69,0.73,0.92,0.25,0.92,0.69,0.73,0.77,0.69,0.69,0.73,0.49,0.92,0.69,0.73,0.14,0.92,0.6,0.69,0.73,0.92,0.24,0.69,0.73,1.0,0.24,0.62,0.69,0.73,0.14,0.56,0.92,0.62
ENSRBIT00000041193_ENSRBIG00000032665,0.37,0.32,0.2,0.24,0.37,0.32,0.24,0.37,0.32,0.37,0.63,0.58,0.54,0.34,0.22,0.35,0.52,0.37,0.32,0.53,0.63,0.38,0.58,0.48,0.42,0.32,0.37,0.38,0.37,0.57,0.24,0.26,0.17,0.25,0.54,0.54,0.22,0.28,0.14,0.32,0.42,0.24,0.32,0.37,0.39,0.24,0.37,0.32,0.24,0.8,0.24,0.37,0.32,0.35,0.37,0.37,0.32,0.2,0.24,0.37,0.32,0.69,0.24,0.36,0.37,0.32,0.24,0.9,0.37,0.32,0.24,1.0,0.36,0.37,0.32,0.69,0.36,0.24,0.36
ENSRBIT00000041194_ENSRBIG00000032665,0.83,0.78,0.54,0.62,0.83,0.78,0.62,0.83,0.78,0.83,0.38,0.49,0.5,0.8,0.45,0.77,0.32,0.83,0.78,0.33,0.38,0.86,0.36,0.29,0.27,0.78,0.83,0.86,0.83,0.36,0.62,0.21,0.62,0.68,0.55,0.55,0.67,0.75,0.53,0.78,0.69,0.62,0.78,0.83,0.67,0.62,0.83,0.78,0.62,0.32,0.62,0.83,0.78,0.77,0.83,0.83,0.78,0.54,0.62,0.83,0.78,0.27,0.62,0.82,0.83,0.78,0.62,0.36,0.83,0.78,0.62,0.36,1.0,0.83,0.78,0.27,0.7,0.62,0.94
ENSRROT00000067454_ENSRROG00000044539,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,0.92,0.67,0.69,0.92,0.86,0.69,0.32,0.69,0.92,0.86,0.84,0.92,0.92,0.86,0.61,0.69,0.92,0.86,0.27,0.69,0.8,0.92,0.86,0.69,0.37,0.92,0.86,0.69,0.37,0.83,1.0,0.86,0.27,0.77,0.69,0.83
ENSRROT00000067457_ENSRROG00000044539,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.5,0.5,0.79,0.68,0.62,0.91,0.62,0.73,0.91,0.86,0.61,0.73,0.86,0.91,0.73,0.33,0.73,0.86,0.91,0.79,0.86,0.86,0.91,0.64,0.73,0.86,0.91,0.22,0.73,0.75,0.86,0.91,0.73,0.32,0.86,0.91,0.73,0.32,0.78,0.86,1.0,0.22,0.72,0.73,0.78
ENSRROT00000067473_ENSRROG00000044539,0.27,0.22,0.26,0.14,0.27,0.22,0.14,0.27,0.22,0.27,0.43,0.42,0.39,0.23,0.18,0.26,0.33,0.27,0.22,0.35,0.44,0.28,0.38,0.32,0.46,0.22,0.27,0.28,0.27,0.41,0.14,0.22,0.14,0.15,0.39,0.39,0.28,0.34,0.2,0.22,0.29,0.14,0.22,0.27,0.29,0.14,0.27,0.22,0.14,0.59,0.14,0.27,0.22,0.26,0.27,0.27,0.22,0.26,0.14,0.27,0.22,0.89,0.14,0.27,0.27,0.22,0.14,0.69,0.27,0.22,0.14,0.69,0.27,0.27,0.22,1.0,0.26,0.14,0.27
ENSRROT00000067484_ENSRROG00000044539,0.77,0.72,0.65,0.56,0.77,0.72,0.56,0.77,0.72,0.77,0.42,0.41,0.39,0.66,0.3,0.71,0.3,0.77,0.72,0.31,0.37,0.71,0.34,0.32,0.29,0.72,0.77,0.71,0.77,0.35,0.56,0.19,0.55,0.61,0.44,0.44,0.6,0.59,0.46,0.72,0.68,0.56,0.72,0.77,0.68,0.56,0.77,0.72,0.56,0.3,0.56,0.77,0.72,0.71,0.77,0.77,0.72,0.69,0.56,0.77,0.72,0.25,0.56,0.67,0.77,0.72,0.56,0.36,0.77,0.72,0.56,0.36,0.7,0.77,0.72,0.26,1.0,0.56,0.7
ENSRROT00000067488_ENSRROG00000044539,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.25,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.65,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,0.92,0.73,0.69,0.48,0.92,0.69,0.73,0.92,0.25,0.92,0.69,0.73,0.77,0.69,0.69,0.73,0.49,0.92,0.69,0.73,0.14,0.92,0.6,0.69,0.73,0.92,0.24,0.69,0.73,0.92,0.24,0.62,0.69,0.73,0.14,0.56,1.0,0.62
ENSRROT00000067491_ENSRROG00000044539,0.83,0.78,0.54,0.62,0.83,0.78,0.62,0.83,0.78,0.83,0.38,0.49,0.5,0.8,0.45,0.77,0.32,0.83,0.78,0.33,0.38,0.86,0.36,0.29,0.27,0.78,0.83,0.86,0.83,0.36,0.62,0.21,0.62,0.68,0.55,0.55,0.67,0.75,0.53,0.78,0.69,0.62,0.78,0.83,0.67,0.62,0.83,0.78,0.62,0.32,0.62,0.83,0.78,0.77,0.83,0.83,0.78,0.54,0.62,0.83,0.78,0.27,0.62,0.82,0.83,0.78,0.62,0.36,0.83,0.78,0.62,0.36,0.94,0.83,0.78,0.27,0.7,0.62,1.0
